# DB 오너십 분리 — 테이블 rename 맵 초안 (B안)
# 규칙: 잉여 서비스 토큰만 제거. * = 변경 없음
# old	new	schema

## chat
ban_word	ban_word	chat	(변경없음)
chat_activation_history	activation_history	chat
chat_bot_block	bot_block	chat
chat_bot_block_button	bot_block_button	chat
chat_bot_block_image	bot_block_image	chat
chat_bot_scenario	bot_scenario	chat
chat_bot_scenario_activation_setting	bot_scenario_activation_setting	chat
chat_bot_scenario_deployment_history	bot_scenario_deployment_history	chat
chat_bot_template	bot_template	chat
chat_bot_template_button	bot_template_button	chat
chat_button	button	chat
chat_consultation_end_message	consultation_end_message	chat
chat_consultation_end_message_button	consultation_end_message_button	chat
chat_consultation_history	consultation_history	chat
chat_file	file	chat
chat_global_template	global_template	chat
chat_global_template_button	global_template_button	chat
chat_image	image	chat
chat_member_tag	member_tag	chat
chat_message	message	chat
chat_message_result	message_result	chat
chat_room	room	chat
chat_room_memo	room_memo	chat
chat_room_requested_data_request	room_requested_data_request	chat
chat_status	status	chat
chat_template	template	chat
chat_template_button	template_button	chat
chat_template_category	template_category	chat
chat_template_favorite	template_favorite	chat
chat_template_image	template_image	chat
chat_view_state	view_state	chat
chat_work_hour	work_hour	chat
chat_work_hour_setting	work_hour_setting	chat
deployed_chat_bot_block	deployed_bot_block	chat
deployed_chat_bot_block_button	deployed_bot_block_button	chat
deployed_chat_bot_block_image	deployed_bot_block_image	chat
deployed_chat_bot_scenario	deployed_bot_scenario	chat
kakao_kakaopay_member	kakao_kakaopay_member	chat	(변경없음)
kakaopay_chat_bot_template	kakaopay_bot_template	chat
kakaopay_chat_bot_template_button	kakaopay_bot_template_button	chat
kakaopay_chat_button	kakaopay_button	chat
kakaopay_chat_consultation_history	kakaopay_consultation_history	chat
kakaopay_chat_file	kakaopay_file	chat
kakaopay_chat_image	kakaopay_image	chat
kakaopay_chat_member_tag	kakaopay_member_tag	chat
kakaopay_chat_memo	kakaopay_memo	chat
kakaopay_chat_message	kakaopay_message	chat
kakaopay_chat_message_result	kakaopay_message_result	chat
kakaopay_chat_room	kakaopay_room	chat
kakaopay_chat_room_status_history	kakaopay_room_status_history	chat
kakaopay_consultation	kakaopay_consultation	chat	(변경없음)
kakaopay_consultation_cancel_reason	kakaopay_consultation_cancel_reason	chat	(변경없음)
kakaopay_consultation_status_history	kakaopay_consultation_status_history	chat	(변경없음)

## mydata
log_my_data_alimtalk_send	log_alimtalk_send	mydata
log_my_data_api_request	log_api_request	mydata
log_my_data_api_request_v2	log_api_request_v2	mydata
log_my_data_member_token_reissue	log_member_token_reissue	mydata
my_data_detail_request	detail_request	mydata
my_data_detail_request_queue	detail_request_queue	mydata
my_data_insurance	insurance	mydata
my_data_insurance_basic	insurance_basic	mydata
my_data_insurance_car	insurance_car	mydata
my_data_insurance_car_transaction	insurance_car_transaction	mydata
my_data_insurance_contract	insurance_contract	mydata
my_data_insurance_general_basic	insurance_general_basic	mydata
my_data_insurance_general_contract	insurance_general_contract	mydata
my_data_insurance_general_insured	insurance_general_insured	mydata
my_data_insurance_general_transaction	insurance_general_transaction	mydata
my_data_insurance_insured	insurance_insured	mydata
my_data_insurance_payment	insurance_payment	mydata
my_data_insurance_payment_average	insurance_payment_average	mydata
my_data_insurance_transaction	insurance_transaction	mydata
my_data_insured_basic	insured_basic	mydata
my_data_insured_contract	insured_contract	mydata
my_data_irp	irp	mydata
my_data_irp_basic	irp_basic	mydata
my_data_irp_detail	irp_detail	mydata
my_data_irp_transaction	irp_transaction	mydata
my_data_linkage_count	linkage_count	mydata
my_data_management_statistics	management_statistics	mydata
my_data_management_statistics_org	management_statistics_org	mydata
my_data_management_statistics_org_api	management_statistics_org_api	mydata
my_data_management_statistics_org_api_error_count	management_statistics_org_api_error_count	mydata
my_data_management_statistics_org_api_time_slot	management_statistics_org_api_time_slot	mydata
my_data_management_statistics_user_count	management_statistics_user_count	mydata
my_data_member_consents	member_consents	mydata
my_data_member_token	member_token	mydata
my_data_member_token_duplicate	member_token_duplicate	mydata
my_data_member_token_refresh_fail	member_token_refresh_fail	mydata
my_data_org	org	mydata
my_data_org_api	org_api	mydata
my_data_org_api_version	org_api_version	mydata
my_data_org_domain_ip	org_domain_ip	mydata
my_data_org_inspection_time	org_inspection_time	mydata
my_data_org_ip	org_ip	mydata
my_data_org_schedule_time	org_schedule_time	mydata
my_data_refresh_member	refresh_member	mydata
my_data_signup_org	signup_org	mydata
my_data_support_agreement_history	support_agreement_history	mydata

## planner
planner_profile	planner_profile	planner	(변경없음)
planner_profile_featured_product	planner_profile_featured_product	planner	(변경없음)
recommend_amount_member	recommend_amount_member	planner	(변경없음)
recommend_amount_planner	recommend_amount_planner	planner	(변경없음)
w_consultation	consultation	planner
w_consultation_allocation_history	consultation_allocation_history	planner
w_consultation_allocation_setting	consultation_allocation_setting	planner
w_consultation_apply_history	consultation_apply_history	planner
w_consultation_cancel_reason	consultation_cancel_reason	planner
w_consultation_status_history	consultation_status_history	planner
w_corp_one_depth	corp_one_depth	planner
w_corp_organization	corp_organization	planner
w_corp_three_depth	corp_three_depth	planner
w_corp_two_depth	corp_two_depth	planner
w_corporation	corporation	planner
w_faq	faq	planner
w_insurer	insurer	planner
w_insurer_archive	insurer_archive	planner
w_insurer_archive_support	insurer_archive_support	planner
w_insurer_archive_support_category	insurer_archive_support_category	planner
w_insurer_archive_support_file	insurer_archive_support_file	planner
w_insurer_bookmark	insurer_bookmark	planner
w_marketing_agree	marketing_agree	planner
w_memo	memo	planner
w_notification	notification	planner
w_planner	planner	planner
w_planner_insurance_premium	planner_insurance_premium	planner
w_planner_main_force_product	planner_main_force_product	planner
w_planner_member	planner_member	planner
w_policy_agree	policy_agree	planner
w_role_corp	role_corp	planner
w_role_mapping	role_mapping	planner
w_role_planner	role_planner	planner
w_user_action_log	user_action_log	planner

## messaging
alimtalk_message_queue	alimtalk_message_queue	messaging	(변경없음)
alimtalk_message_setting	alimtalk_message_setting	messaging	(변경없음)
alimtalk_recipient	alimtalk_recipient	messaging	(변경없음)
alimtalk_recipient_extraction_job	alimtalk_recipient_extraction_job	messaging	(변경없음)
